ID1,ID2,Distance
BMK385520US2014,BMK385157US2011,0.00459291
BMN090792DE2018,BMN090783DE2018,0
BMN090792DE2018,BMN090809DE2018,0
BMK385520US2014,BMK385058US2011,0.00990488
BMK385520US2014,BMK383772US2014,0
BMN090792DE2018,BMN090769DE2018,0
BMK169804US2018,BMK169826US2018,0.0131722
BMK384237US2014,BMK385491US2014,0.0135282
BMK384237US2014,BMK384904US2010,0.0128124
BMK384237US2014,BMK383439US2010,0.0110239
BMK169804US2018,BMK169813US2018,0.0146061
BMN090792DE2018,BMN090829DE2018,0
BMK169804US2018,BMK169795US2018,0.00992715
BMK385520US2014,BMK384544US2015,0.0131901
BMK385520US2014,BMK385126US2011,0.00779126
BMK169832US2018,BMK169721US2018,0.0106568
BMK169832US2018,BMK169823US2018,0.00672381
BMK384237US2014,BMK383501US2014,0.0113717
BMK169804US2018,BMK169833US2018,0.0131722
BMK169832US2018,BMK169683US2018,0.0124445
BMN090792DE2018,BMN090776DE2018,0
BMK384237US2014,BMK385533US2014,0.0131786
-MN467341US2016,-MN467364US2016,0.00170986
BMK385520US2014,BMK383835US2014,0.0120904
BMK169804US2018,BMK169821US2018,0.0131722
BMK385520US2014,BMK383445US2014,0.0149905
BMK385520US2014,BMK383426US2014,0.0124487
BMK385520US2014,BMK384037US2014,0.00814727
BMN090792DE2018,BMN090808DE2018,0
BMK385520US2014,BMK383624US2005,0.0135384
01_AEGU564223CN2005,01_AEJQ302668CN2009,0.0149755
BMK385520US2014,BMK383606US2018,0.0149905
BMK169832US2018,BMK169791US2018,0.0102918
BMK385520US2014,BMK383447US2005,0.00459291
BMK169832US2018,BMK169807US2018,0.00672381
BMK169832US2018,BMK169677US2018,0.0124445
BMK169804US2018,BMK169720US2018,0.0127947
BMK385520US2014,BMK384306US2014,0
BMK385520US2014,BMK383929US2014,0.0055788
BMK384237US2014,BMK383461US2010,0.00923427
BMK169804US2018,BMK169816US2018,0.0113629
BMK385520US2014,BMK384457US2018,0.00850081
BMK385520US2014,BMK383593US2011,0.0138929
BMK384237US2014,BMK384203US2010,0.0106549
BMK169832US2018,BMK169829US2018,0.01065
BMN090792DE2018,BMN090738DE2018,0
BMK169804US2018,BMK169723US2018,0.0135218
BMN090792DE2018,BMN090813DE2018,0.000351832
BMK385520US2014,BMK383409US2005,0.00957922
BMK169832US2018,BMK169804US2018,0.0131722
01_AEGU564223CN2005,01_AEJQ028252CN2010,0.0149666
BMK169832US2018,BMK169826US2018,0
BMK385520US2014,BMK383420US2005,0.00600771
BMK385520US2014,BMK383625US2005,0.0095853
BMK385520US2014,BMK383734US2014,0.00946863
BMK169832US2018,BMK169813US2018,0.0113722
BMN090792DE2018,BMN090842DE2018,0.000351832
BMK385520US2014,BMK384541US2015,0.0088708
BMK169832US2018,BMK169795US2018,0.0102943
BMK385520US2014,BMK383496US2015,0.0149905
BMK169832US2018,BMK169833US2018,0
BMK384237US2014,BMK384287US2010,0.0146099
BMK385520US2014,BMK384961US2011,0.0124486
BMK385520US2014,BMK384145US2014,0
BMK385520US2014,BMK384736US2015,0.0131901
01_AEGU564223CN2005,01_AEJX112822CN2007,0.0110119
BMK169832US2018,BMK169821US2018,0
BMK384237US2014,BMK384161US2010,0.0128045
BMK385520US2014,BMK383441US2005,0.0117349
BMK169804US2018,BMK169806US2018,0.0113629
BMK385520US2014,BMK385535US2007,0.00990159
BMK385520US2014,BMK383444US2007,0.0142633
-MN467341US2016,-MN467345US2016,0.00170986
BMN090792DE2018,BMN090832DE2018,0
BMK385520US2014,BMK384490US2015,0.0131901
BMK169832US2018,BMK169720US2018,0.0117254
BMN090792DE2018,BMN090784DE2018,0
BMK385520US2014,BMK385179US2015,0.00565615
BMK384237US2014,BMK383416US2010,0.0102976
BMK169804US2018,BMK169735US2018,0.0131776
BMK385520US2014,BMK384269US2014,0.0142571
BMK385520US2014,BMK385135US2018,0.00814727
BMK169832US2018,BMK169816US2018,0.00672381
BMN090792DE2018,BMN090736DE2018,0
BMN090792DE2018,BMN090845DE2018,0.000351717
BMK385520US2014,BMK383527US2015,0.00459291
BMK169832US2018,BMK169723US2018,0.00886744
BMN090792DE2018,BMN090831DE2018,0.000351717
BMK384237US2014,BMK384078US2010,0.0110288
BMK384237US2014,BMK384297US2010,0.0128127
BMN090792DE2018,BMN090834DE2018,0
-MN467341US2016,-MN467293US2016,0.00385465
01_AEGU564223CN2005,01_AEGU564224CN2005,0.0139028
BMK384237US2014,BMK383386US2010,0.0106531
BMH663851--,BMH663858--,0.0131529
BMK385399US2007,BMK383832US2015,0.0142663
BMK169832US2018,BMK169806US2018,0.00672381
BMK169804US2018,BMK169794US2018,0.012435
BMH663851--,BMH663852--,0.0131529
BMK384237US2014,BMK384200US2010,0.0102914
BMK169832US2018,BMK169735US2018,0.00994027
-MN467341US2016,-MN467363US2016,0.00170986
BMK169804US2018,BMK169780US2018,0.00922226
BMH663851--,BMH663909--,0.0149652
BMH663851--,BMH663884--,0.0142349
BMK169804US2018,BMK169764US2018,0.00921324
01_AEGU564223CN2005,01_AEJQ302597CN2009,0.0138856
BMK384237US2014,BMK384387US2014,0.0124406
BMH663851--,BMH663876--,0.00352622
BMK169832US2018,BMK169794US2018,0.0113656
BMK384237US2014,BMK384532US2010,0.0102916
BMK385399US2007,BMK384937US2007,0.0131812
BMK385399US2007,BMK383642US2007,0.00957049
BMH663851--,BMH663835--,0.011729
BMK385399US2007,BMK383639US2007,0.0135246
BMK384237US2014,BMK383815US2010,0.00921893
BMH663851--,BMH663893--,0.00992735
BMH663851--,BMH663832--,0.0110047
A1MN791334KE-,A1MN791367KE-,0.00814824
BMK169832US2018,BMK169780US2018,0.00743531
BMH663851--,BMH663862--,0.0117136
BMH663851--,BMH663817--,0.0131663
BMH663851--,BMH663825--,0.014969
BMK169832US2018,BMK169764US2018,0.0124445
A1MN791334KE-,A1MN791393KE-,0.00850559
BMH663851--,BMH663890--,0.0120903
BMK385399US2007,BMK383663US2007,0.0149736
BMH663851--,BMH663870--,0.0131514
BMH663851--,BMH663842--,0.0131529
01_AEFJ185238VN1997,01_AEFJ185231VN1998,0.00707288
BMK384237US2014,BMK384612US2010,0.0106577
BMH663851--,BMH663834--,0.0131607
BMK385399US2007,BMK383413US2012,0.0146223
01_AEFJ185238VN1997,01_AEFJ185254VN1997,0.0113539
BMH663851--,BMH663846--,0.0135141
01_AEFJ185238VN1997,01_AEJQ302599CN2009,0.0149894
01_AEFJ185238VN1997,01_AEAB220945TH1993,0.0117206
BMH663851--,BMH663899--,0.010291
BMH663851--,BMH663805--,0.0142293
BMH663851--,BMH663865--,0.0106418
BMK384237US2014,BMK383747US2010,0.0142578
BMK385031US2018,BMK383560US2007,0.0138404
BMK385031US2018,BMK384346US2007,0.00860316
A1MN791334KE-,A1MN791356KE-,0.00070409
BMK169723US2018,BMK169806US2018,0.00636733
01_AEJQ302574CN2009,01_AEJQ302698CN2009,0.0120729
BMK385031US2018,BMK385399US2007,0.0142663
BMK385031US2018,BMK383832US2015,0
A1MN791334KE-,A1MN791394KE-,0.00814824
BMK384237US2014,BMK383423US2010,0.011372
01_AEJQ302574CN2009,01_AEJX112832CN2007,0.0128075
BMK169723US2018,BMK169735US2018,0.00815619
BMK384237US2014,BMK384390US2014,0.0128127
A1MN791334KE-,A1MN791432KE-,0.00850309
A1MN791334KE-,A1MN791430KE-,0.0102936
01_AEJQ302574CN2009,01_AEGU564223CN2005,0.0120969
BMK384237US2014,BMK384850US2010,0.012809
01_AEFJ185238VN1997,01_AEFJ185245VN1997,0.00494258
BMK384237US2014,BMK383384US2010,0.0131734
A1MN791334KE-,A1MN791342KE-,0.000351831
A1MN791334KE-,A1MN791399KE-,0.00850311
BMK384237US2014,BMK385089US2010,0.011728
01_AEFJ185238VN1997,01_AEFJ185253VN1997,0.00778535
A1MN791334KE-,A1MN791395KE-,0.00814824
A1MN791334KE-,A1MN791400KE-,0.00850309
A1MN791334KE-,A1MN791318KE-,0
A1MN791334KE-,A1MN791366KE-,0.00814824
01_AEFJ185238VN1997,01_AEU54771TH1990,0.00778984
BMK169723US2018,BMK169794US2018,0.00957218
01_AEFJ185238VN1997,01_AEFJ185252VN1997,0.0110028
01_AEJQ302574CN2009,01_AEJX112822CN2007,0.0120922
BMK169723US2018,BMK169780US2018,0.00778708
01_AEJX112837CN2007,01_AEJQ302672CN2009,0.0149856
BMK169723US2018,BMK169764US2018,0.0120806
01_AEFJ185238VN1997,01_AEFJ185234VN1998,0.00885023
BMK384237US2014,BMK384450US2014,0.0127924
BMK384237US2014,BMK383500US2014,0.0113619
BMK385126US2011,BMK383396US2009,0.014277
BMK385126US2011,BMK383835US2014,0.0113865
BMK385126US2011,BMK383445US2014,0.0114009
BMK385126US2011,BMK383426US2014,0.0103075
BMK385126US2011,BMK384037US2014,0.000351953
BMK385126US2011,BMK384654US2015,0.0149872
BMK385126US2011,BMK384726US2011,0.00861896
BMK385126US2011,BMK383810US2009,0.0131927
BMK384237US2014,BMK385345US2010,0.0110132
BMK385126US2011,BMK383624US2005,0.0113821
BMK385126US2011,BMK383606US2018,0.0114009
BMK385126US2011,BMK383447US2005,0.00744035
